epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.272,1.24437,2.46352,1.8537,0.00303,1,0.85671,0.45578,1.10981,3.23381,2.07022,0.00042,0.00042,0.00042
2,56.3129,1.29358,1.75094,1.75097,0.06736,1,0.87074,0.46399,1.15785,3.09902,2.05403,0.000851486,0.000851486,0.000851486
3,79.899,1.2789,1.645,1.69499,0.97729,1,0.995,0.49871,1.17076,2.53762,2.46512,0.00127426,0.00127426,0.00127426
4,103.522,1.22959,1.64722,1.6705,0.79394,0.96364,0.94015,0.31441,1.45019,2.5739,2.63889,0.00168832,0.00168832,0.00168832
5,137.877,1.27053,1.60661,1.70117,0.69966,0.65,0.69895,0.16165,2.08518,3.2868,4.08789,0.0019208,0.0019208,0.0019208
6,193.69,1.31758,1.62616,1.79273,0.74657,0.95,0.82771,0.38397,1.64109,2.59611,3.185,0.001901,0.001901,0.001901
7,240.008,1.31735,1.51498,1.81862,0.67488,0.9,0.85862,0.37562,1.50473,3.3672,3.04243,0.0018812,0.0018812,0.0018812
8,262.844,1.27146,1.36244,1.71037,0.82384,0.85,0.86977,0.31817,1.6342,3.18635,2.97025,0.0018614,0.0018614,0.0018614
9,286.629,1.39292,1.46956,1.71793,0.93331,1,0.98548,0.57245,1.41697,2.22596,2.33956,0.0018416,0.0018416,0.0018416
10,310.814,1.19254,1.28593,1.59722,0.92482,0.95,0.98848,0.55921,1.33054,2.80603,2.50658,0.0018218,0.0018218,0.0018218
11,334.411,1.28139,1.23306,1.70452,0.99251,1,0.995,0.52712,1.42689,2.08734,2.84982,0.001802,0.001802,0.001802
12,388.661,1.17146,1.27789,1.61469,0.98109,1,0.995,0.48447,1.53865,1.76613,3.13011,0.0017822,0.0017822,0.0017822
13,445.238,1.24572,1.23672,1.60901,1,0.9854,0.995,0.48334,1.64287,2.15022,3.60757,0.0017624,0.0017624,0.0017624
14,470.295,1.12347,1.20713,1.56318,0.98312,1,0.995,0.56,1.62887,1.60774,3.1222,0.0017426,0.0017426,0.0017426
15,493.351,1.14973,1.28349,1.62562,0.99549,1,0.995,0.5325,1.69268,1.71179,3.17388,0.0017228,0.0017228,0.0017228
16,516.575,1.11948,1.13673,1.55666,1,0.93659,0.99045,0.50842,1.55296,1.77828,2.95309,0.001703,0.001703,0.001703
17,540.449,1.19977,1.18101,1.72772,0.99456,1,0.995,0.49779,1.57583,1.39989,2.83054,0.0016832,0.0016832,0.0016832
18,581.305,1.20513,1.10338,1.63836,0.99581,1,0.995,0.54218,1.53742,1.30137,2.5702,0.0016634,0.0016634,0.0016634
19,636.337,1.25509,1.13947,1.62566,0.99331,1,0.995,0.62216,1.27824,1.3383,2.1569,0.0016436,0.0016436,0.0016436
20,675.571,1.21775,1.10344,1.6227,0.95215,0.9952,0.99262,0.58461,1.40664,1.13992,2.36275,0.0016238,0.0016238,0.0016238
21,698.381,1.17584,1.06007,1.63711,0.99726,1,0.995,0.51581,1.6041,1.40694,2.68855,0.001604,0.001604,0.001604
22,721.663,1.23351,1.12298,1.66563,0.99526,1,0.995,0.51236,1.53468,1.50297,2.48554,0.0015842,0.0015842,0.0015842
23,745.471,1.22452,1.11084,1.60781,0.83948,0.78506,0.89029,0.47202,1.57675,1.54658,2.3511,0.0015644,0.0015644,0.0015644
24,772.418,1.09677,1.02753,1.55197,1,0.94546,0.97625,0.57442,1.39771,1.16363,2.21509,0.0015446,0.0015446,0.0015446
25,828.845,1.14413,0.98539,1.61458,0.99851,1,0.995,0.59293,1.4633,0.97919,2.38413,0.0015248,0.0015248,0.0015248
26,883.783,1.15247,0.96055,1.58531,0.94226,1,0.99262,0.61626,1.55167,1.10227,2.53348,0.001505,0.001505,0.001505
27,909.978,1.13623,0.97597,1.53223,0.99587,1,0.995,0.56983,1.56955,1.05349,2.73365,0.0014852,0.0014852,0.0014852
28,933.33,1.10005,0.9232,1.56242,0.9976,1,0.995,0.54983,1.56966,1.01192,2.48947,0.0014654,0.0014654,0.0014654
29,956.792,1.1464,0.94196,1.56089,0.99628,1,0.995,0.58958,1.42035,1.05999,2.1599,0.0014456,0.0014456,0.0014456
30,980.332,1.14652,0.95749,1.57337,0.99585,1,0.995,0.6159,1.424,1.06486,2.17319,0.0014258,0.0014258,0.0014258
31,1020.92,1.11245,0.9252,1.5272,0.99515,1,0.995,0.6073,1.34786,0.96193,2.33427,0.001406,0.001406,0.001406
32,1075.71,1.11847,0.9281,1.59577,0.99451,1,0.995,0.60167,1.41071,1.02318,2.41492,0.0013862,0.0013862,0.0013862
33,1121.75,1.06357,0.95741,1.48382,0.99653,1,0.995,0.60243,1.38732,0.9235,2.30614,0.0013664,0.0013664,0.0013664
34,1144.07,1.13852,0.98305,1.58258,0.9966,1,0.995,0.57739,1.48362,0.92448,2.44341,0.0013466,0.0013466,0.0013466
35,1167.18,1.04719,0.89204,1.51222,0.99674,1,0.995,0.5176,1.58896,0.90008,2.61603,0.0013268,0.0013268,0.0013268
36,1190.25,1.095,0.90139,1.59066,0.9971,1,0.995,0.56744,1.51177,0.8853,2.44846,0.001307,0.001307,0.001307
37,1213.72,1.08155,0.86782,1.54598,0.99632,1,0.995,0.553,1.53005,0.91099,2.41305,0.0012872,0.0012872,0.0012872
38,1263.91,1.08873,0.86371,1.5415,0.99531,1,0.995,0.55679,1.51616,0.9016,2.39769,0.0012674,0.0012674,0.0012674
39,1319,1.13211,0.86792,1.58628,0.99673,1,0.995,0.49221,1.73239,0.84692,2.70619,0.0012476,0.0012476,0.0012476
40,1355.68,1.15331,0.83946,1.5659,0.99543,1,0.995,0.55341,1.5543,0.84531,2.36013,0.0012278,0.0012278,0.0012278
41,1378.91,1.03675,0.87906,1.5208,0.99643,1,0.995,0.61298,1.29712,0.81769,2.04152,0.001208,0.001208,0.001208
42,1402.44,1.03474,0.84214,1.44954,0.99688,1,0.995,0.57558,1.40053,0.84303,2.14769,0.0011882,0.0011882,0.0011882
43,1425.73,1.14598,0.87271,1.58352,0.99673,1,0.995,0.5335,1.58499,0.87178,2.42913,0.0011684,0.0011684,0.0011684
44,1471.62,1.01145,0.8252,1.50364,0.99625,1,0.995,0.56258,1.46349,0.75657,2.32509,0.0011486,0.0011486,0.0011486
45,1527.44,1.07166,0.80337,1.51739,0.99693,1,0.995,0.57062,1.52198,0.77739,2.47255,0.0011288,0.0011288,0.0011288
46,1560.89,1.20651,0.85417,1.63841,0.99734,1,0.995,0.55005,1.55623,0.78121,2.62116,0.001109,0.001109,0.001109
47,1583.92,1.08199,0.82255,1.51724,0.99724,1,0.995,0.5571,1.4306,0.75171,2.28777,0.0010892,0.0010892,0.0010892
48,1607.26,1.09069,0.77446,1.48949,0.99722,1,0.995,0.59759,1.40437,0.74109,2.16241,0.0010694,0.0010694,0.0010694
49,1630.75,1.10242,0.79338,1.5866,0.99706,1,0.995,0.57012,1.52503,0.77784,2.42638,0.0010496,0.0010496,0.0010496
50,1675.49,1.07917,0.77679,1.50546,0.99718,1,0.995,0.52798,1.58647,0.77063,2.59294,0.0010298,0.0010298,0.0010298
51,1730.54,1.05683,0.79898,1.51273,0.99709,1,0.995,0.54552,1.5683,0.7493,2.5479,0.00101,0.00101,0.00101
52,1765.64,0.99407,0.75535,1.45915,1,0.99894,0.995,0.61672,1.37855,0.81804,2.1369,0.0009902,0.0009902,0.0009902
53,1788.96,1.06027,0.74934,1.46054,0.99743,1,0.995,0.56076,1.39339,0.77625,2.21943,0.0009704,0.0009704,0.0009704
54,1812.12,1.01851,0.75266,1.4932,0.99719,1,0.995,0.53263,1.50606,0.75675,2.45362,0.0009506,0.0009506,0.0009506
55,1835.78,1.07302,0.72579,1.49649,0.99677,1,0.995,0.50008,1.6868,0.73749,2.72282,0.0009308,0.0009308,0.0009308
56,1865.84,1.0449,0.74378,1.50343,0.99649,1,0.995,0.51636,1.65838,0.72049,2.582,0.000911,0.000911,0.000911
57,1921.08,1.02964,0.7298,1.4786,0.99661,1,0.995,0.55465,1.51799,0.74474,2.30281,0.0008912,0.0008912,0.0008912
58,1975.47,1.03535,0.77037,1.44767,0.99697,1,0.995,0.57809,1.43793,0.70178,2.19339,0.0008714,0.0008714,0.0008714
59,1999.18,1.07106,0.76741,1.53783,0.99689,1,0.995,0.58842,1.42153,0.64872,2.19599,0.0008516,0.0008516,0.0008516
60,2021.82,1.024,0.725,1.47392,0.99698,1,0.995,0.57449,1.45766,0.6692,2.27714,0.0008318,0.0008318,0.0008318
61,2045.68,0.97038,0.70671,1.43797,0.99685,1,0.995,0.57443,1.45476,0.72433,2.24909,0.000812,0.000812,0.000812
62,2069.6,0.97165,0.71801,1.45928,0.99706,1,0.995,0.54368,1.48449,0.76955,2.29817,0.0007922,0.0007922,0.0007922
63,2111.89,0.95573,0.67039,1.4438,0.99741,1,0.995,0.53202,1.49146,0.69693,2.38208,0.0007724,0.0007724,0.0007724
64,2167.17,0.93275,0.65711,1.41281,0.99742,1,0.995,0.53225,1.51857,0.67195,2.46271,0.0007526,0.0007526,0.0007526
65,2211.15,0.9971,0.70077,1.45054,0.99716,1,0.995,0.53061,1.59197,0.69087,2.68853,0.0007328,0.0007328,0.0007328
66,2234.52,0.99057,0.65734,1.47916,0.99713,1,0.995,0.49243,1.62623,0.71046,2.75168,0.000713,0.000713,0.000713
67,2257.91,1.00627,0.72462,1.43963,0.99692,1,0.995,0.50631,1.69133,0.71887,2.92378,0.0006932,0.0006932,0.0006932
68,2281.64,1.04838,0.72134,1.48979,0.99651,1,0.995,0.50663,1.70324,0.70772,3.02344,0.0006734,0.0006734,0.0006734
69,2305.18,1.01885,0.66683,1.47321,0.99633,1,0.995,0.52283,1.61462,0.67792,2.73829,0.0006536,0.0006536,0.0006536
70,2359.89,0.90818,0.63874,1.37158,0.99723,1,0.995,0.54173,1.54847,0.6464,2.57047,0.0006338,0.0006338,0.0006338
71,2414.33,0.95662,0.66029,1.43549,0.9967,1,0.995,0.57087,1.5697,0.67497,2.47751,0.000614,0.000614,0.000614
72,2445.76,1.03416,0.69958,1.44942,0.99684,1,0.995,0.56204,1.60532,0.69431,2.49732,0.0005942,0.0005942,0.0005942
73,2469.13,0.97519,0.66604,1.41073,0.99753,1,0.995,0.55394,1.62221,0.7238,2.58159,0.0005744,0.0005744,0.0005744
74,2492.36,0.97423,0.70606,1.4448,0.99769,1,0.995,0.54904,1.60117,0.71923,2.58298,0.0005546,0.0005546,0.0005546
75,2516.07,1.00234,0.69043,1.4323,0.99758,1,0.995,0.55398,1.59557,0.71552,2.57063,0.0005348,0.0005348,0.0005348
76,2539.78,0.95665,0.64805,1.42729,0.99774,1,0.995,0.56915,1.6611,0.78429,2.51203,0.000515,0.000515,0.000515
77,2592.84,0.96734,0.66012,1.47328,0.99735,1,0.995,0.56624,1.56763,0.75976,2.39169,0.0004952,0.0004952,0.0004952
78,2647.33,0.89426,0.6524,1.37578,0.9967,1,0.995,0.57325,1.44976,0.70513,2.29526,0.0004754,0.0004754,0.0004754
79,2680.63,0.90031,0.65024,1.38919,0.99685,1,0.995,0.54784,1.46163,0.64824,2.49887,0.0004556,0.0004556,0.0004556
80,2704.06,0.9035,0.66103,1.41394,0.99603,1,0.995,0.55265,1.51258,0.65587,2.59405,0.0004358,0.0004358,0.0004358
81,2727.69,1.01622,0.70027,1.48627,0.99654,1,0.995,0.55329,1.52188,0.64047,2.57433,0.000416,0.000416,0.000416
82,2751.52,0.96956,0.66624,1.44029,0.99655,1,0.995,0.56335,1.49854,0.63481,2.48369,0.0003962,0.0003962,0.0003962
83,2786.35,0.929,0.63994,1.40634,0.9965,1,0.995,0.55727,1.48912,0.64398,2.4176,0.0003764,0.0003764,0.0003764
84,2841.6,0.89213,0.62749,1.4159,0.99631,1,0.995,0.57166,1.43903,0.62751,2.26152,0.0003566,0.0003566,0.0003566
85,2887.07,0.88631,0.66625,1.37098,0.99669,1,0.995,0.57362,1.4369,0.62204,2.26558,0.0003368,0.0003368,0.0003368
86,2910.25,0.97543,0.66576,1.4284,0.99677,1,0.995,0.58624,1.42139,0.62412,2.24095,0.000317,0.000317,0.000317
87,2934.91,0.95934,0.62724,1.40832,0.99693,1,0.995,0.5608,1.4334,0.61642,2.28644,0.0002972,0.0002972,0.0002972
88,2958.67,0.81903,0.61499,1.34201,0.99697,1,0.995,0.56181,1.42786,0.61697,2.27399,0.0002774,0.0002774,0.0002774
89,2982.51,0.93478,0.65136,1.4419,0.99706,1,0.995,0.56041,1.40888,0.60739,2.25245,0.0002576,0.0002576,0.0002576
90,3037.68,0.92943,0.62181,1.3924,0.99708,1,0.995,0.56406,1.40003,0.61175,2.25071,0.0002378,0.0002378,0.0002378
91,3091.84,0.81475,0.62608,1.49855,0.99713,1,0.995,0.56389,1.41854,0.63824,2.29172,0.000218,0.000218,0.000218
92,3116.98,0.90659,0.64158,1.61609,0.99715,1,0.995,0.54317,1.44908,0.68308,2.35648,0.0001982,0.0001982,0.0001982
93,3139.69,0.85965,0.62241,1.53532,0.99718,1,0.995,0.54587,1.47548,0.69429,2.41069,0.0001784,0.0001784,0.0001784
94,3163.24,0.84678,0.58795,1.57599,0.99719,1,0.995,0.54104,1.50151,0.69725,2.47857,0.0001586,0.0001586,0.0001586
95,3186.29,0.82997,0.60191,1.50936,0.99703,1,0.995,0.54444,1.52994,0.68668,2.54624,0.0001388,0.0001388,0.0001388
96,3225.98,0.81953,0.56987,1.54595,0.997,1,0.995,0.54174,1.53688,0.68085,2.54554,0.000119,0.000119,0.000119
97,3279.59,0.81992,0.59538,1.48978,0.99688,1,0.995,0.54942,1.52612,0.67147,2.52446,9.92e-05,9.92e-05,9.92e-05
98,3320.53,0.81674,0.57588,1.46238,0.99686,1,0.995,0.54511,1.52508,0.66633,2.52398,7.94e-05,7.94e-05,7.94e-05
99,3343.62,0.82005,0.56093,1.42647,0.99689,1,0.995,0.5351,1.52687,0.67107,2.5245,5.96e-05,5.96e-05,5.96e-05
100,3366.84,0.82788,0.55928,1.48922,0.99697,1,0.995,0.53681,1.52279,0.67577,2.51864,3.98e-05,3.98e-05,3.98e-05
